喜宴,1993,8.9,290504
电锯惊魂,2004,8.7,443272
新世界,2013,8.9,318015
寄生虫,2019,8.8,1163897
卢旺达饭店,2004,8.9,270143
风之谷,1984,8.9,314255
模仿游戏,2014,8.7,526311
上帝之城,2002,9.0,262753
三块广告牌,2017,8.7,705795
花样年华,2000,8.7,494573
疯狂原始人,2013,8.7,732878
黑客帝国3：矩阵革命,2003,8.8,369659
谍影重重3,2007,8.8,361794
英雄本色,1986,8.6,444562
你的名字。,2016,8.5,1179157
达拉斯买家俱乐部,2013,8.8,382840
头脑特工队,2015,8.7,506098
纵横四海,1991,8.8,350979
心迷宫,2014,8.7,425141
哈利·波特与火焰杯,2005,8.7,498288
岁月神偷,2010,8.7,514380
记忆碎片,2000,8.7,523233
忠犬八公物语,1987,9.2,163108
海街日记,2015,8.8,365103
荒蛮故事,2014,8.8,369862
惊魂记,1960,9.0,222368
爆裂鼓手,2014,8.7,483635
贫民窟的百万富翁,2008,8.6,648080
真爱至上,2003,8.6,616861
东邪西毒,1994,8.6,501102
九品芝麻官,1994,8.6,528410
绿里奇迹,1999,8.9,261208
小偷家族,2018,8.7,707265
无敌破坏王,2012,8.7,453220
爱在午夜降临前,2013,8.8,308366
黑天鹅,2010,8.6,702080
你看起来好像很好吃,2010,8.9,287798
冰川时代,2002,8.6,530124
萤火虫之墓,1988,8.7,362305
疯狂的石头,2006,8.5,686909
雨人,1988,8.7,351978
恋恋笔记本,2004,8.6,562188
恐怖游轮,2009,8.5,679352
雨中曲,1952,9.1,178133
色，戒,2007,8.5,606547
魔女宅急便,1989,8.7,390819
2001太空漫游,1968,8.8,255383
二十二,2015,8.7,259009
城市之光,1931,9.3,116687
虎口脱险,1966,8.9,207807
可可西里,2004,8.8,253435
人工智能,2001,8.7,375313
奇迹男孩,2017,8.6,486459
海边的曼彻斯特,2016,8.6,414312
初恋这件小事,2010,8.4,870258
罗生门,1950,8.8,262005
大佛普拉斯,2017,8.7,356744
终结者2：审判日,1991,8.8,295356
遗愿清单,2007,8.7,350480
房间,2015,8.8,328352
牯岭街少年杀人事件,1991,8.9,226900
源代码,2011,8.5,701163
青蛇,1993,8.6,441978
新龙门客栈,1992,8.6,376132
波西米亚狂想曲,2018,8.7,496226
魂断蓝桥,1940,8.8,236207
无间道2,2003,8.6,367594
疯狂的麦克斯4：狂暴之路,2015,8.6,445493
东京教父,2003,9.0,161440
无耻混蛋,2009,8.6,404510
步履不停,2008,8.8,231359
血钻,2006,8.7,314435
燃情岁月,1994,8.8,248737
彗星来的那一夜,2013,8.5,454077
战争之王,2005,8.7,304564
海洋,2009,9.1,142901
谍影重重2,2004,8.7,303356
千钧一发,1997,8.8,231091
黑客帝国2：重装上阵,2003,8.6,329361
穿越时空的少女,2006,8.6,334851
阿飞正传,1990,8.5,427033
茶馆,1982,9.5,78533
崖上的波妞,2008,8.6,398506
地球上的星星,2007,8.9,178278
谍影重重,2002,8.6,363296
完美陌生人,2016,8.5,462848
香水,2006,8.5,477964
再次出发之纽约遇见你,2013,8.6,363999
我爱你,2011,9.1,140484
背靠背，脸对脸,1994,9.5,80773
朗读者,2008,8.6,405672
爱乐之城,2016,8.4,710163
聚焦,2015,8.8,240262
驴得水,2016,8.3,790012
浪潮,2008,8.7,235011
猜火车,1996,8.5,371257
小萝莉的猴神大叔,2015,8.4,425551
火星救援,2015,8.5,594079
小丑,2019,8.7,843708
